country,region,ladder_score,GDP,social_support,healthy_life_exp,life_choice_freedom,Generosity,perception_of_corruption
Peru,Latin America and Caribbean,5.84,9.458,0.8320000000000001,68.25,0.8220000000000001,-0.154,0.8909999999999999
Bosnia and Herzegovina,Central and Eastern Europe,5.813,9.59,0.87,68.098,0.706,0.113,0.9309999999999999
Moldova,Commonwealth of Independent States,5.766,9.454,0.857,65.699,0.8220000000000001,-0.079,0.9179999999999999
Ecuador,Latin America and Caribbean,5.763999999999999,9.312999999999999,0.821,68.8,0.8420000000000001,-0.124,0.843
Kyrgyzstan,Commonwealth of Independent States,5.744,8.538,0.893,64.40100000000001,0.935,0.11900000000000001,0.9079999999999999
Greece,Western Europe,5.723,10.279000000000002,0.823,72.6,0.5820000000000001,-0.28800000000000003,0.823
Bolivia,Latin America and Caribbean,5.716,9.046,0.81,63.901,0.875,-0.077,0.8390000000000001
Mongolia,East Asia,5.6770000000000005,9.4,0.935,62.5,0.708,0.11599999999999999,0.856
Paraguay,Latin America and Caribbean,5.653,9.448,0.893,65.9,0.8759999999999999,0.027999999999999997,0.882
Montenegro,Central and Eastern Europe,5.581,9.94,0.858,68.699,0.708,-0.034,0.812
Dominican Republic,Latin America and Caribbean,5.545,9.802,0.853,66.102,0.86,-0.133,0.7140000000000001
North Cyprus,Western Europe,5.5360000000000005,10.575999999999999,0.82,73.898,0.795,0.012,0.626
Belarus,Commonwealth of Independent States,5.534,9.853,0.91,66.253,0.65,-0.18,0.627
Russia,Commonwealth of Independent States,5.477,10.189,0.903,64.703,0.718,-0.111,0.845
Hong Kong,East Asia,5.477,11.0,0.836,76.82,0.7170000000000001,0.067,0.40299999999999997
Tajikistan,Commonwealth of Independent States,5.466,8.091000000000001,0.86,64.281,0.8320000000000001,-0.055999999999999994,0.5529999999999999
Vietnam,Southeast Asia,5.4110000000000005,8.972999999999999,0.85,68.03399999999999,0.94,-0.098,0.7959999999999999
Libya,Middle East and North Africa,5.41,9.622,0.8270000000000001,62.3,0.7709999999999999,-0.087,0.667
Malaysia,Southeast Asia,5.3839999999999995,10.238,0.8170000000000001,67.102,0.895,0.125,0.8390000000000001
Indonesia,Southeast Asia,5.345,9.365,0.8109999999999999,62.236000000000004,0.873,0.542,0.867
Congo (Brazzaville),Sub-Saharan Africa,5.3420000000000005,8.117,0.636,58.221000000000004,0.695,-0.068,0.745
China,East Asia,5.3389999999999995,9.673,0.8109999999999999,69.593,0.904,-0.146,0.755
Ivory Coast,Sub-Saharan Africa,5.306,8.551,0.644,50.114,0.741,-0.016,0.794
Armenia,Commonwealth of Independent States,5.2829999999999995,9.487,0.799,67.055,0.825,-0.168,0.629
Nepal,South Asia,5.269,8.12,0.774,64.233,0.782,0.152,0.727
Bulgaria,Central and Eastern Europe,5.266,10.016,0.9309999999999999,67.0,0.7879999999999999,-0.096,0.932
Maldives,South Asia,5.1979999999999995,9.826,0.9129999999999999,70.6,0.8540000000000001,0.024,0.825
Azerbaijan,Commonwealth of Independent States,5.171,9.568999999999999,0.836,65.656,0.8140000000000001,-0.223,0.506
Cameroon,Sub-Saharan Africa,5.142,8.189,0.71,53.515,0.731,0.026000000000000002,0.848
Senegal,Sub-Saharan Africa,5.132000000000001,8.118,0.71,59.802,0.695,-0.046,0.8009999999999999
Albania,Central and Eastern Europe,5.117,9.52,0.6970000000000001,68.999,0.785,-0.03,0.9009999999999999
North Macedonia,Central and Eastern Europe,5.101,9.693,0.805,65.47399999999999,0.7509999999999999,0.038,0.905
Ghana,Sub-Saharan Africa,5.088,8.58,0.727,57.586000000000006,0.807,0.12300000000000001,0.848
Niger,Sub-Saharan Africa,5.074,7.098,0.6409999999999999,53.78,0.8059999999999999,0.018000000000000002,0.693
Turkmenistan,Commonwealth of Independent States,5.066,9.629,0.983,62.409,0.877,0.273,0.888
Gambia,Sub-Saharan Africa,5.051,7.686,0.69,55.16,0.6970000000000001,0.424,0.746
Benin,Sub-Saharan Africa,5.045,8.087,0.489,54.713,0.757,-0.034,0.6609999999999999
Laos,Southeast Asia,5.03,8.947000000000001,0.728,58.968,0.91,0.12300000000000001,0.6579999999999999
Bangladesh,South Asia,5.025,8.454,0.693,64.8,0.877,-0.040999999999999995,0.682
Guinea,Sub-Saharan Africa,4.984,7.837999999999999,0.639,55.008,0.6970000000000001,0.095,0.7659999999999999
South Africa,Sub-Saharan Africa,4.956,9.402999999999999,0.86,56.903999999999996,0.7490000000000001,-0.067,0.86
Turkey,Middle East and North Africa,4.948,10.24,0.8220000000000001,67.199,0.5760000000000001,-0.139,0.7759999999999999
Pakistan,South Asia,4.934,8.458,0.6509999999999999,58.708999999999996,0.726,0.098,0.787
Morocco,Middle East and North Africa,4.918,8.902999999999999,0.56,66.208,0.774,-0.23600000000000002,0.8009999999999999
Venezuela,Latin America and Caribbean,4.8919999999999995,9.073,0.861,66.7,0.615,-0.16899999999999998,0.8270000000000001
Georgia,Commonwealth of Independent States,4.891,9.585,0.6709999999999999,64.3,0.7829999999999999,-0.23800000000000002,0.655
Algeria,Middle East and North Africa,4.887,9.342,0.802,66.005,0.48,-0.067,0.752
Ukraine,Commonwealth of Independent States,4.875,9.436,0.888,64.902,0.7240000000000001,-0.011000000000000001,0.924
Iraq,Middle East and North Africa,4.854,9.24,0.746,60.583,0.63,-0.053,0.875
Gabon,Sub-Saharan Africa,4.852,9.603,0.7759999999999999,59.961999999999996,0.731,-0.2,0.84
Burkina Faso,Sub-Saharan Africa,4.834,7.678,0.672,54.151,0.695,-0.009000000000000001,0.748
Cambodia,Southeast Asia,4.83,8.36,0.765,62.0,0.9590000000000001,0.034,0.843
Mozambique,Sub-Saharan Africa,4.794,7.1579999999999995,0.7440000000000001,54.706,0.882,0.061,0.684
Nigeria,Sub-Saharan Africa,4.7589999999999995,8.533,0.74,50.102,0.737,0.037000000000000005,0.878
Mali,Sub-Saharan Africa,4.723,7.744,0.7240000000000001,51.968999999999994,0.6970000000000001,-0.036000000000000004,0.8270000000000001
Iran,Middle East and North Africa,4.721,9.584,0.71,66.3,0.608,0.218,0.7140000000000001
Uganda,Sub-Saharan Africa,4.636,7.6770000000000005,0.7809999999999999,56.101000000000006,0.7090000000000001,0.122,0.855
Liberia,Sub-Saharan Africa,4.625,7.287999999999999,0.72,56.498000000000005,0.735,0.05,0.85
Kenya,Sub-Saharan Africa,4.607,8.361,0.688,60.70399999999999,0.779,0.287,0.825
Tunisia,Middle East and North Africa,4.596,9.266,0.691,67.20100000000001,0.6559999999999999,-0.201,0.87
Lebanon,Middle East and North Africa,4.584,9.626,0.848,67.355,0.525,-0.073,0.898
Namibia,Sub-Saharan Africa,4.574,9.161,0.818,56.799,0.7190000000000001,-0.149,0.847
Palestine,Middle East and North Africa,4.5169999999999995,8.485,0.826,62.25,0.653,-0.163,0.821
Myanmar,Southeast Asia,4.426,8.541,0.779,59.302,0.8759999999999999,0.509,0.66
Jordan,Middle East and North Africa,4.395,9.182,0.767,67.0,0.755,-0.16699999999999998,0.705
Chad,Sub-Saharan Africa,4.355,7.364,0.619,48.478,0.579,0.040999999999999995,0.807
Sri Lanka,South Asia,4.325,9.47,0.8270000000000001,67.29899999999999,0.841,0.079,0.863
Swaziland,Sub-Saharan Africa,4.308,9.065,0.77,50.833,0.647,-0.185,0.708
Comoros,Sub-Saharan Africa,4.289,8.031,0.626,57.349,0.5479999999999999,0.08199999999999999,0.7809999999999999
Egypt,Middle East and North Africa,4.283,9.367,0.75,61.998000000000005,0.7490000000000001,-0.182,0.795
